Date,"Balancing Authority","Coal Share(%)","Gas Share(%)","Oil Share(%)","Nuclear Share(%)","Hydro Share(%)","Solar Share(%)","Wind Share(%)","Carbon (lbs/kWh)","WC (m3/MWh)","WC (m3/MWh) - Zero water to hydro","WW (m3/MWh)"
"2021-12-01 00:00:00",AECI,56.09,42.68,0.00,0.02,0.01,0.00,1.21,0.6664,0.2400,0.2328,0.7932
"2021-12-01 01:00:00",AECI,56.88,40.03,0.00,0.15,0.07,0.01,2.86,0.6649,0.2924,0.2347,1.4354
"2021-12-01 02:00:00",AECI,57.83,38.45,0.00,0.00,0.00,0.00,3.72,0.6646,0.2076,0.2076,0.6385
"2021-12-01 03:00:00",AECI,55.70,41.65,0.00,0.00,0.00,0.00,2.65,0.6586,0.2249,0.2249,0.6806
"2021-12-01 04:00:00",AECI,55.73,43.06,0.00,0.00,0.00,0.00,1.21,0.6644,0.2325,0.2325,0.7006
"2021-12-01 05:00:00",AECI,54.59,41.83,0.00,0.00,2.49,0.00,1.10,0.6897,0.3616,0.2441,0.7506
"2021-12-01 06:00:00",AECI,55.85,39.88,0.00,0.26,0.13,0.00,3.87,0.6965,0.3846,0.2743,2.7537
"2021-12-01 07:00:00",AECI,53.50,40.48,0.00,0.45,0.19,0.00,5.36,0.6775,0.4690,0.3003,4.2408
"2021-12-01 08:00:00",AECI,54.78,37.79,0.00,0.80,0.30,0.00,6.31,0.6821,0.6044,0.3395,7.0305
"2021-12-01 09:00:00",AECI,55.37,32.22,0.00,0.79,0.22,0.00,11.39,0.6659,0.5016,0.3130,6.7416
"2021-12-01 10:00:00",AECI,58.61,25.86,0.00,1.44,0.14,0.00,13.91,0.6772,0.4993,0.3729,11.2418
"2021-12-01 11:00:00",AECI,62.80,21.56,0.00,1.76,0.15,0.00,13.67,0.7014,0.5148,0.3825,12.7266
"2021-12-01 12:00:00",AECI,64.37,17.07,0.00,2.22,0.24,0.00,16.03,0.7001,0.6040,0.3976,14.7727
"2021-12-01 13:00:00",AECI,63.96,14.42,0.00,2.88,0.30,0.00,18.36,0.6879,0.6924,0.4322,17.5354
"2021-12-01 14:00:00",AECI,62.15,13.56,0.00,2.80,0.24,0.00,21.17,0.6656,0.5931,0.3867,15.1989
"2021-12-01 15:00:00",AECI,58.66,13.04,0.00,2.83,0.24,0.00,25.15,0.6295,0.5714,0.3636,14.2007
"2021-12-01 16:00:00",AECI,56.24,13.26,0.00,3.04,0.28,0.00,27.10,0.6082,0.6131,0.3707,14.6051
"2021-12-01 17:00:00",AECI,60.34,13.65,0.00,2.30,0.31,0.00,23.33,0.6465,0.5905,0.3166,11.1561
"2021-12-01 18:00:00",AECI,61.78,15.90,0.00,1.83,0.61,0.00,19.83,0.6682,0.8433,0.3132,10.5740
"2021-12-01 19:00:00",AECI,61.79,16.34,0.00,1.59,0.53,0.00,19.70,0.6698,0.7793,0.3177,10.6484
"2021-12-01 20:00:00",AECI,66.27,19.95,0.00,1.16,0.41,0.03,12.15,0.7256,0.6583,0.3022,8.4684
"2021-12-01 21:00:00",AECI,75.46,19.30,0.00,0.57,0.27,0.04,4.34,0.8089,0.4852,0.2490,4.9165
"2021-12-01 22:00:00",AECI,77.32,21.34,0.00,0.00,0.35,0.00,0.99,0.8297,0.1954,0.1790,0.3939
"2021-12-01 23:00:00",AECI,76.58,22.81,0.00,0.00,0.00,0.00,0.62,0.8282,0.1846,0.1846,0.3967
"2021-12-02 00:00:00",AECI,74.73,22.60,0.00,0.45,0.22,0.03,1.96,0.8137,0.4432,0.2507,4.2954
"2021-12-02 01:00:00",AECI,72.09,21.29,0.00,1.16,0.56,0.08,4.80,0.7896,0.8401,0.3491,10.3296
"2021-12-02 02:00:00",AECI,70.21,20.35,0.00,1.23,0.58,0.07,7.53,0.7680,0.8590,0.3500,10.7675
"2021-12-02 03:00:00",AECI,68.36,19.57,0.00,1.29,0.61,0.07,10.06,0.7475,0.8867,0.3521,11.1940
"2021-12-02 04:00:00",AECI,66.40,18.90,0.00,1.27,0.59,0.02,12.77,0.7252,0.8576,0.3379,10.7372
"2021-12-02 05:00:00",AECI,62.48,18.61,0.00,1.29,0.61,0.00,16.98,0.6862,0.8610,0.3311,10.6519
"2021-12-02 06:00:00",AECI,62.34,18.24,0.00,1.22,0.52,0.00,17.64,0.6826,0.7700,0.3161,9.8803
"2021-12-02 07:00:00",AECI,62.99,17.87,0.00,1.15,0.44,0.00,17.53,0.6859,0.6779,0.2921,8.6079
"2021-12-02 08:00:00",AECI,63.47,16.54,0.00,1.20,0.45,0.00,18.30,0.6850,0.6798,0.2839,8.4999
"2021-12-02 09:00:00",AECI,64.28,15.97,0.00,1.17,0.29,0.00,18.26,0.6892,0.5157,0.2653,7.5256
"2021-12-02 10:00:00",AECI,66.04,7.39,0.00,2.04,0.21,0.00,24.27,0.6764,0.4897,0.3092,11.9709
"2021-12-02 11:00:00",AECI,65.17,3.21,0.00,2.53,0.23,0.00,28.79,0.6529,0.5287,0.3246,14.0510
"2021-12-02 12:00:00",AECI,62.05,3.53,0.00,2.87,0.32,0.00,31.17,0.6248,0.6163,0.3395,15.1271
